Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,positive regulation of ERK1 and ERK2 cascade (GO:0070374),2/172,0.0208734296100997,0.1236349292290524,0,0,9.7078431372549,37.56234620184538,CCL25;GPR55
GO_Biological_Process_2021,regulation of vascular endothelial cell proliferation (GO:1905562),1/18,0.0231527832149216,0.1337073230661725,0,0,46.95764705882353,176.82560723797164,FLT1
GO_Biological_Process_2021,negative regulation of osteoclast differentiation (GO:0045671),1/20,0.0256932740553108,0.1447596660189464,0,0,42.01052631578948,153.82263569148483,GPR55
GO_Biological_Process_2021,chondroitin sulfate biosynthetic process (GO:0030206),1/21,0.0269611361380806,0.144837731346433,0,0,39.908,144.2019250738276,CHSY3
GO_Biological_Process_2021,positive regulation of transcription from RNA polymerase II promoter involved in cellular response to chemical stimulus (GO:1901522),1/21,0.0269611361380806,0.144837731346433,0,0,39.908,144.2019250738276,SMAD1
GO_Biological_Process_2021,triglyceride catabolic process (GO:0019433),1/23,0.0294921031126646,0.1489779625248407,0,0,36.276363636363634,127.82458269039886,LIPH
GO_Biological_Process_2021,regulation of protein export from nucleus (GO:0046825),1/23,0.0294921031126646,0.1489779625248407,0,0,36.276363636363634,127.82458269039886,IFI27
GO_Biological_Process_2021,positive regulation of phospholipase activity (GO:0010518),1/24,0.0307552117947077,0.1489779625248407,0,0,34.697391304347825,120.8057619164666,FLT1
GO_Biological_Process_2021,cardiac conduction system development (GO:0003161),1/25,0.0320167398038226,0.1489779625248407,0,0,33.25,114.42975510355669,SMAD1
GO_Biological_Process_2021,chondroitin sulfate proteoglycan biosynthetic process (GO:0050650),1/27,0.0345350613606546,0.1489779625248407,0,0,30.689230769230768,103.29320526635196,CHSY3
GO_Biological_Process_2021,inflammatory response (GO:0006954),2/230,0.0357054901992817,0.1489779625248407,0,0,7.217105263157895,24.050648315616105,CCL25;PTGER3
GO_Biological_Process_2021,positive regulation of phosphatidylinositol 3-kinase activity (GO:0043552),1/28,0.0357918586912164,0.1489779625248407,0,0,29.551111111111112,98.40622903757162,FLT1
GO_Biological_Process_2021,positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G protein-coupled signaling pathway (GO:0051482),1/28,0.0357918586912164,0.1489779625248407,0,0,29.551111111111112,98.40622903757162,GPR55
GO_Biological_Process_2021,lipid catabolic process (GO:0016042),1/29,0.0370470829069464,0.1489779625248407,0,0,28.494285714285716,93.90478962861955,LIPH
GO_Biological_Process_2021,negative regulation of myeloid leukocyte differentiation (GO:0002762),1/29,0.0370470829069464,0.1489779625248407,0,0,28.494285714285716,93.90478962861955,GPR55
GO_Biological_Process_2021,production of miRNAs involved in gene silencing by miRNA (GO:0035196),1/29,0.0370470829069464,0.1489779625248407,0,0,28.494285714285716,93.90478962861955,SMAD1
GO_Biological_Process_2021,regulation of ERK1 and ERK2 cascade (GO:0070372),2/238,0.0379978318662821,0.1489779625248407,0,0,6.969632768361582,22.792275523409888,CCL25;GPR55
GO_Biological_Process_2021,maintenance of blood-brain barrier (GO:0035633),1/30,0.0383007358905153,0.1489779625248407,0,0,27.51034482758621,89.74661743899148,LAMC1
GO_Biological_Process_2021,chondroitin sulfate metabolic process (GO:0030204),1/30,0.0383007358905153,0.1489779625248407,0,0,27.51034482758621,89.74661743899148,CHSY3
GO_Biological_Process_2021,positive regulation of lipid kinase activity (GO:0090218),1/30,0.0383007358905153,0.1489779625248407,0,0,27.51034482758621,89.74661743899148,FLT1
GO_Biological_Process_2021,positive regulation of Rho protein signal transduction (GO:0035025),1/31,0.0395528195360064,0.1489779625248407,0,0,26.592,85.8953057509563,GPR55
GO_Biological_Process_2021,activation of phospholipase C activity (GO:0007202),1/32,0.0408033357136717,0.1489779625248407,0,0,25.732903225806453,82.31933722871672,GPR55
GO_Biological_Process_2021,regulation of intracellular protein transport (GO:0033157),1/32,0.0408033357136717,0.1489779625248407,0,0,25.732903225806453,82.31933722871672,IFI27
GO_Biological_Process_2021,hematopoietic progenitor cell differentiation (GO:0002244),1/32,0.0408033357136717,0.1489779625248407,0,0,25.732903225806453,82.31933722871672,FLT1
GO_Biological_Process_2021,regulation of sprouting angiogenesis (GO:1903670),1/33,0.0420522863055333,0.1489779625248407,0,0,24.9275,78.99129706265623,SMAD1
GO_Biological_Process_2021,cellular response to vascular endothelial growth factor stimulus (GO:0035924),1/34,0.0432996732000933,0.1489779625248407,0,0,24.17090909090909,75.88723251587066,FLT1
GO_Biological_Process_2021,cell-substrate junction assembly (GO:0007044),1/34,0.0432996732000933,0.1489779625248407,0,0,24.17090909090909,75.88723251587066,LAMC1
GO_Biological_Process_2021,acylglycerol catabolic process (GO:0046464),1/35,0.0445454982675267,0.1489779625248407,0,0,23.458823529411763,72.98612815583363,LIPH
GO_Biological_Process_2021,regulation of phosphatidylinositol 3-kinase activity (GO:0043551),1/35,0.0445454982675267,0.1489779625248407,0,0,23.458823529411763,72.98612815583363,FLT1
GO_Biological_Process_2021,cellular component assembly (GO:0022607),2/261,0.0448935347952539,0.1489779625248407,0,0,6.3433075933075935,19.686210808404397,LAMC1;LIMS2
GO_Biological_Process_2021,cytokine-mediated signaling pathway (GO:0019221),3/621,0.045608446155124,0.1489779625248407,0,0,4.085268045588856,12.613928362265534,CCL25;IFI27;NDN
GO_Biological_Process_2021,positive regulation of substrate adhesion-dependent cell spreading (GO:1900026),1/36,0.0457897633734358,0.1489779625248407,0,0,22.78742857142857,70.2694731674912,LIMS2
GO_Biological_Process_2021,regulation of osteoclast differentiation (GO:0045670),1/36,0.0457897633734358,0.1489779625248407,0,0,22.78742857142857,70.2694731674912,GPR55
GO_Biological_Process_2021,negative regulation of endothelial cell proliferation (GO:0001937),1/37,0.0470324704132764,0.1508958425759286,0,0,22.15333333333333,67.72090251278901,FLT1
GO_Biological_Process_2021,regulation of cell communication (GO:0010646),1/38,0.048273621231532,0.1527562534860808,0,0,21.553513513513515,65.32589775680604,SCG5
GO_Biological_Process_2021,lymphocyte migration (GO:0072676),1/40,0.0507512617202016,0.1584262359103593,0,0,20.446153846153845,60.94627977000699,CCL25
GO_Biological_Process_2021,positive regulation of cell-matrix adhesion (GO:0001954),1/44,0.0556879502757451,0.1692620593907516,0,0,18.54046511627907,53.54470543982107,CCL25
GO_Biological_Process_2021,lymphocyte chemotaxis (GO:0048247),1/44,0.0556879502757451,0.1692620593907516,0,0,18.54046511627907,53.54470543982107,CCL25
GO_Biological_Process_2021,innate immune response (GO:0045087),2/302,0.0582314993001511,0.1746944979004533,0,0,5.465,15.538792141016614,NCR2;IFI27
GO_Biological_Process_2021,substrate adhesion-dependent cell spreading (GO:0034446),1/48,0.0605999480502736,0.1771973164508,0,0,16.959148936170212,47.54431675958979,LAMC1
GO_Biological_Process_2021,phosphatidic acid biosynthetic process (GO:0006654),1/48,0.0605999480502736,0.1771973164508,0,0,16.959148936170212,47.54431675958979,LIPH
GO_Biological_Process_2021,positive regulation of cell morphogenesis involved in differentiation (GO:0010770),1/50,0.0630467249540435,0.1797999193133834,0,0,16.26530612244898,44.95534064809558,LIMS2
GO_Biological_Process_2021,phosphatidic acid metabolic process (GO:0046473),1/50,0.0630467249540435,0.1797999193133834,0,0,16.26530612244898,44.95534064809558,LIPH
GO_Biological_Process_2021,regulation of substrate adhesion-dependent cell spreading (GO:1900024),1/51,0.0642678143574904,0.1810471355680523,0,0,15.9392,43.74826370127252,LIMS2
