Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,cell_type
prerank,Adipogenesis,-0.25537380758169437,-1.253380043921753,0.05357142857142857,0.11450141266791121,0.737,62/171,27.06%,IMMT;YWHAG;ATP1B3;PTGER3;HADH;ACLY;COQ5;UBQLN1;BCKDHA;RMDN3;AIFM1;PFKL;RTN3;TALDO1;CHUK;LPCAT3;RETSAT;GADD45A;ESYT1;UCP2;PDCD4;PRDX3;STOM;COQ9;ECH1;SLC19A1;SLC5A6;UQCRC1;UCK1;CAT;IDH3G;UQCR10;REEP5;PFKFB3;MAP4K3;RAB34;ECHS1;HIBCH;PEX14;ACOX1;STAT5A;TST;ENPP2;DDT;DECR1;CS;PIM3;AK2;JAGN1;BCL6;ABCA1;ABCB8;SUCLG1;IDH1;SQOR;BCL2L13;MDH2;GPD2;SLC66A3;NMT1;DBT;COX8A,CD56_dim_CD16__NK
prerank,Apical Surface,-0.35222721715471544,-1.2329154455032239,0.17302798982188294,0.1297757735187273,0.783,10/30,21.78%,IL2RG;BRCA1;APP;LYN;CD160;AFAP1L2;B4GALT1;GATA3;MAL;AKAP7,CD56_dim_CD16__NK
prerank,Coagulation,0.28850623162362826,1.1558662677047553,0.22044728434504793,0.5822316234796404,0.997,24/78,21.89%,TIMP1;CPQ;CTSO;CTSH;LRP1;CFH;APOA1;MST1;PRSS23;F8;C2;CAPN5;A2M;ISCU;GSN;KLF7;DUSP14;ANXA1;S100A13;CTSV;CTSK;PROS1;MMP11;PLG,CD56_dim_CD16__NK
prerank,p53 Pathway,-0.23335392513883138,-1.1390552896676631,0.15902140672782875,0.25192844004034887,0.943,43/174,15.50%,RHBDF2;TAP1;NUDT15;CCND2;PCNA;PHLDA3;BAK1;TRAFD1;ADA;IP6K2;MDM2;APAF1;LDHB;APP;IRAG2;TM7SF3;PVT1;HMOX1;DEF6;ABHD4;POLH;RETSAT;GADD45A;FDXR;TNFSF9;STOM;SPHK1;RAP2B;TGFA;TRAF4;RCHY1;TP63;POM121;H1-2;BAX;RB1;SLC35D1;DGKA;TRIB3;ZBTB16;SERTAD3;KLF4;MXD4,CD56_dim_CD16__NK
prerank,Notch Signaling,-0.34002329456004754,-1.1331837711057742,0.2630272952853598,0.2526287144210485,0.95,11/24,27.32%,DLL1;DTX1;PSEN2;KAT2A;JAG1;DTX4;CUL1;SAP30;RBX1;DTX2;ARRB1,CD56_dim_CD16__NK
prerank,Fatty Acid Metabolism,-0.24153485884222844,-1.1325754082363275,0.1503267973856209,0.24523230285409123,0.95,48/129,27.33%,UBE2L6;ACSS1;HADHB;H2AZ1;UGDH;HADH;CPT1A;NTHL1;NBN;PSME1;ADSL;METAP1;ALDH9A1;HSPH1;HSP90AA1;CRYZ;RETSAT;CPOX;SMS;ECH1;PDHB;KMT5A;ACAA1;MIF;D2HGDH;HSD17B4;IDH3G;TP53INP2;YWHAH;ECHS1;HIBCH;ACOX1;FH;LDHA;MDH1;ACOT8;DECR1;NCAPH2;SUCLG1;EHHADH;IDH1;MDH2;GPD2;PCBD1;ACADVL;CEL;NSDHL;HSD17B10,CD56_dim_CD16__NK
prerank,Protein Secretion,-0.2529113093342852,-1.1269952319904057,0.20994475138121546,0.24617422379092074,0.955,35/89,29.85%,STX16;COPE;ICA1;GNAS;MAPK1;COPB1;AP2M1;TMX1;RPS6KA3;ARFGAP3;ZW10;AP3S1;COPB2;SEC22B;VPS4B;CLTA;GALC;STX7;VPS45;VAMP3;NAPA;KIF1B;ABCA1;NAPG;ARFIP1;CLCN3;VAMP7;RAB2A;ATP7A;SGMS1;LAMP2;ADAM10;SEC24D;ARCN1;ARF1,CD56_dim_CD16__NK
prerank,KRAS Signaling Dn,-0.2574026290529074,-1.1204528875435085,0.23513513513513515,0.24932133744733875,0.962,25/86,18.34%,IFI44L;PLAG1;NUDT11;MX1;RSAD2;SNN;CHST2;BARD1;KCND1;YPEL1;BRDT;C5;NR6A1;GTF3C5;GP1BA;ZBTB16;CD40LG;CLSTN3;CPEB3;RYR1;PDE6B;PNMT;SPHK2;ASB7;CAMK1D,CD56_dim_CD16__NK
prerank,Cholesterol Homeostasis,0.2814062235160414,1.07889780460947,0.34444444444444444,0.7405232214514573,1.0,10/63,10.03%,ACSS2;ALDOC;ERRFI1;SREBF2;SQLE;PCYT2;LDLR;SC5D;TMEM97;HMGCS1,CD56_dim_CD16__NK
prerank,Myc Targets V2,-0.2657881377138525,-1.0768039219414802,0.2883116883116883,0.32259879996188073,0.986,19/57,22.92%,IPO4;UNG;MCM5;HSPD1;HK2;PLK4;PLK1;HSPE1;MCM4;PPRC1;GRWD1;SLC19A1;TCOF1;PES1;MYC;DCTPP1;BYSL;NOP16;DUSP2,CD56_dim_CD16__NK
