"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
106.084151484305,-0.111058315199268,0.0236217065067623,-4.70153649430347,2.5821110239562e-06,0.00506610182900206,"IKZF1"
73.8722759131546,-0.156801170881479,0.0349497503563092,-4.48647470390796,7.24113100753533e-06,0.00710354951839216,"DIP2A"
414.586790169049,-0.164313869571127,0.0373592605039867,-4.39820990443834,1.09147391843846e-05,0.00713823942658752,"TXNIP"
23.0192987886972,-0.45812195766502,0.106385640473127,-4.30623865803339,1.66053901224197e-05,0.00814494385504685,"FKBP5"
37.8802505762451,-0.14456278200111,0.0360418363992519,-4.01097159422515,6.04693861143888e-05,0.0237281871112861,"ITGAX"
88.4742265440891,-0.229798834897004,0.059137065335132,-3.88586808619477,0.000101964866779703,0.033342511436963,"IL32"
24.9310819792522,-0.162530365106398,0.0434570425819134,-3.74002360607122,0.000184002973670241,0.0389352780907306,"ERAP2"
244.784624087217,-0.106788220859467,0.028639917551213,-3.72864973052075,0.000192508512971787,0.0389352780907306,"ENSG00000289901"
89.5179634963019,-0.11987182686836,0.0322150754973682,-3.72098543981847,0.000198446881196384,0.0389352780907306,"GZMH"
69.446386612915,-0.142297720374531,0.0377825293616982,-3.76623065682799,0.000165730692492857,0.0389352780907306,"PRMT2"
23.761019303829,-0.17469551383433,0.0476127952737491,-3.66908753896764,0.000243417724394434,0.0434168704783526,"RNF130"
