"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","cell_type"
106.084151484305,-0.111058315199268,0.0236217065067623,-4.70153649430347,2.5821110239562e-06,0.00506610182900206,"IKZF1","CD56_bright CD16- NK"
73.8722759131546,-0.156801170881479,0.0349497503563092,-4.48647470390796,7.24113100753533e-06,0.00710354951839216,"DIP2A","CD56_bright CD16- NK"
414.586790169049,-0.164313869571127,0.0373592605039867,-4.39820990443834,1.09147391843846e-05,0.00713823942658752,"TXNIP","CD56_bright CD16- NK"
23.0192987886972,-0.45812195766502,0.106385640473127,-4.30623865803339,1.66053901224197e-05,0.00814494385504685,"FKBP5","CD56_bright CD16- NK"
37.8802505762451,-0.14456278200111,0.0360418363992519,-4.01097159422515,6.04693861143888e-05,0.0237281871112861,"ITGAX","CD56_bright CD16- NK"
88.4742265440891,-0.229798834897004,0.059137065335132,-3.88586808619477,0.000101964866779703,0.033342511436963,"IL32","CD56_bright CD16- NK"
24.9310819792522,-0.162530365106398,0.0434570425819134,-3.74002360607122,0.000184002973670241,0.0389352780907306,"ERAP2","CD56_bright CD16- NK"
244.784624087217,-0.106788220859467,0.028639917551213,-3.72864973052075,0.000192508512971787,0.0389352780907306,"ENSG00000289901","CD56_bright CD16- NK"
89.5179634963019,-0.11987182686836,0.0322150754973682,-3.72098543981847,0.000198446881196384,0.0389352780907306,"GZMH","CD56_bright CD16- NK"
69.446386612915,-0.142297720374531,0.0377825293616982,-3.76623065682799,0.000165730692492857,0.0389352780907306,"PRMT2","CD56_bright CD16- NK"
23.761019303829,-0.17469551383433,0.0476127952737491,-3.66908753896764,0.000243417724394434,0.0434168704783526,"RNF130","CD56_bright CD16- NK"
150.270048232549,-0.083916877635395,0.0236174458330344,-3.55317328675813,0.00038061365401261,0.0622303324310617,"VAV3","CD56_bright CD16- NK"
76.605084369634,-0.0729601628631299,0.0209393223579652,-3.48436122314991,0.000493313212844105,0.0744523479692411,"MYH9","CD56_bright CD16- NK"
139.31856432485,-0.0714677542609952,0.0210995840892543,-3.38716412412095,0.000706191278724099,0.098967663489763,"KLRD1","CD56_bright CD16- NK"
80.5540098687997,-0.0690500282424069,0.0205796788017675,-3.35525296130843,0.000792924415823378,0.0991058378358894,"CD53","CD56_bright CD16- NK"
24.7489922269481,0.143120854698458,0.0429731673486948,3.33047023360275,0.0008669943277336,0.0991058378358894,"TENT5C","CD56_bright CD16- NK"
28.1848476167964,-0.132183959454878,0.039657038139663,-3.33317780791789,0.000858600517926104,0.0991058378358894,"GFOD1","CD56_bright CD16- NK"
32.6513364158833,-0.111676697830479,0.0336658990236956,-3.31720527504334,0.000909227870054031,0.0991058378358894,"TRERF1","CD56_bright CD16- NK"
88.4835618204333,-0.110589031468891,0.0338073707355471,-3.27115149929748,0.00107110513462159,0.106510931078312,"TXK","CD56_bright CD16- NK"
28.8900742547792,0.122491304777583,0.0374899284990546,3.26731230710862,0.00108573833922846,0.106510931078312,"ZFP36L1","CD56_bright CD16- NK"
21.4845069200972,0.100575607789776,0.0144422301986774,6.96399423123626,3.30758157711605e-12,4.20889755688018e-08,"KIF21A","CD56_dim CD16+ KLRC2+ NK"
23.7148379328642,0.0451534586484854,0.00779858271158905,5.78995701121246,7.04044413453494e-09,4.03829651729606e-05,"MEGF9","CD56_dim CD16+ KLRC2+ NK"
36.7200817615345,0.066351393623625,0.011561376482405,5.73905656688924,9.52054188753491e-09,4.03829651729606e-05,"SIGLEC17P","CD56_dim CD16+ KLRC2+ NK"
10.6207736370174,0.102605758030052,0.0182228333962771,5.63061494328397,1.79568221341683e-08,5.7125140414323e-05,"LINC01684","CD56_dim CD16+ KLRC2+ NK"
15.8640998300005,0.101379507619089,0.0188603904576027,5.37526027613192,7.64721340582619e-08,0.000183711293176885,"AGAP1","CD56_dim CD16+ KLRC2+ NK"
4.90330427741708,0.146814959547276,0.0274358407551462,5.35121051538169,8.7367813166012e-08,0.000183711293176885,"NR3C2","CD56_dim CD16+ KLRC2+ NK"
5.27675254001809,0.0960336301178324,0.0180351319435734,5.32480884632801,1.01059257543277e-07,0.000183711293176885,"SELENOM","CD56_dim CD16+ KLRC2+ NK"
15.8800914318963,0.204238054921536,0.0395963183780076,5.15800618056888,2.4959338297188e-07,0.000397009474789647,"PTGDS","CD56_dim CD16+ KLRC2+ NK"
38.722928601583,0.0998024489502544,0.0201492760112358,4.9531531006177,7.30204770155837e-07,0.001032428411137,"GPR141","CD56_dim CD16+ KLRC2+ NK"
3.65317172937682,0.0920221450884612,0.018774426672117,4.90146232934657,9.51258922937183e-07,0.00110640221756879,"ZSWIM5","CD56_dim CD16+ KLRC2+ NK"
5.19216902462064,0.123438927028234,0.0251895626573061,4.90039976904605,9.56418419902292e-07,0.00110640221756879,"ADAMTS1","CD56_dim CD16+ KLRC2+ NK"
20.8246668141507,-0.042716625112526,0.00875345283153484,-4.87997432951678,1.06099649843782e-06,0.00112509837021844,"TMEM156","CD56_dim CD16+ KLRC2+ NK"
2.50375928715068,-0.0964939523695094,0.0199581730385637,-4.83480888671831,1.33273612135415e-06,0.00113060447628211,"MZB1","CD56_dim CD16+ KLRC2+ NK"
28.253890464718,0.0721830914986507,0.0148962034740498,4.8457374809896,1.26142222206324e-06,0.00113060447628211,"L3MBTL4","CD56_dim CD16+ KLRC2+ NK"
29.1723985929055,0.0664557090929718,0.0137366558408916,4.83783752484682,1.31259366702707e-06,0.00113060447628211,"TCP10L","CD56_dim CD16+ KLRC2+ NK"
5.86819899178748,0.0601711700836511,0.0127359854282018,4.72450054397925,2.30681598176586e-06,0.00146771166839853,"DNAJB4","CD56_dim CD16+ KLRC2+ NK"
225.685880384705,-0.0147933322122927,0.00311478325052878,-4.74939378519561,2.04027319629783e-06,0.00146771166839853,"WIPF1","CD56_dim CD16+ KLRC2+ NK"
3.98914760027913,0.108565320873336,0.022922397673501,4.73621138677131,2.17750467604137e-06,0.00146771166839853,"TCF7L2","CD56_dim CD16+ KLRC2+ NK"
78.6003167624857,-0.0285014323839108,0.00603109987922445,-4.72574372082458,2.2927465980201e-06,0.00146771166839853,"NIN","CD56_dim CD16+ KLRC2+ NK"
3.48050847263387,0.0957844438596861,0.0201502974021128,4.75350025601323,1.99924851172269e-06,0.00146771166839853,"RADX","CD56_dim CD16+ KLRC2+ NK"
49.0827111752481,0.128078749347826,0.0121714758381292,10.5228610770929,6.7783433681651e-26,1.17590700750928e-21,"NR3C2","CD56_dim CD16+ NK"
44.2915448276167,0.120125357883457,0.011827871792915,10.1561261388894,3.11196470893729e-24,2.69931818853221e-20,"RADX","CD56_dim CD16+ NK"
60.8862121044833,0.123177737767829,0.0122213594637431,10.0788900067344,6.84955063225257e-24,3.96086681227725e-20,"SELENOM","CD56_dim CD16+ NK"
323.634848176435,0.138939695585757,0.0146310714919369,9.49620782471923,2.17673090879259e-21,9.44048195143348e-18,"KIF21A","CD56_dim CD16+ NK"
445.739274397464,0.0418445547111692,0.00445679731399325,9.38892926088148,6.0613285342839e-21,2.10303854825514e-17,"MEGF9","CD56_dim CD16+ NK"
7.46680467676142,0.18012081628758,0.0194221151314216,9.27400620729387,1.79282500056258e-20,5.18365468495994e-17,"MID2","CD56_dim CD16+ NK"
20.7347325544394,0.113940311607639,0.0130622278299664,8.72288503085559,2.71201601602676e-18,6.72115054943319e-15,"NAP1L2","CD56_dim CD16+ NK"
19.5721190472871,0.11094477926751,0.012770371958654,8.6876701498367,3.69948085390146e-18,8.02232423168532e-15,"DMTN","CD56_dim CD16+ NK"
30.8960565328199,0.136168310608117,0.0158136308029264,8.61081887550573,7.25405240061226e-18,1.39825890050913e-14,"LARGE1","CD56_dim CD16+ NK"
322.349871112276,0.0945244597827882,0.0111621745549687,8.46828360525074,2.49035365593834e-17,4.32026552232184e-14,"AGAP1","CD56_dim CD16+ NK"
38.4824108661448,0.0795822749205663,0.00942997472243746,8.43928825505864,3.19275824842331e-17,5.03527000851341e-14,"STX3","CD56_dim CD16+ NK"
76.1890992478725,0.0840773250533604,0.0100329605885746,8.38011116570186,5.28777373261266e-17,7.6443582261137e-14,"PRR34-AS1","CD56_dim CD16+ NK"
36.4313866737188,0.0809095930181608,0.00975199990301146,8.29671798839698,1.07027039796038e-16,1.42823468183205e-13,"MIRLET7BHG","CD56_dim CD16+ NK"
112.024926594136,0.083015815444022,0.0100815564346742,8.23442451390738,1.80422834262583e-16,2.2356966634195e-13,"MYO1D","CD56_dim CD16+ NK"
