"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","cell_type","direction"
"ADIPOGENESIS",0.00197487665352265,0.00412148171169943,0.431707695803346,-0.327684113908795,-1.53388666140368,168,"TKT;ABCA1;SLC19A1;DGAT1;CS;CHUK;CCNG2;PDCD4;ARAF;COX6A1;MTCH2;COX7B;CYC1;TANK;MDH2;RTN3;IMMT;ATP1B3;ACLY;STAT5A;PPP1R15B;ADIPOR2;ACAA2;UQCRQ;GPAT4;MRPL15;UQCRC1;NDUFS3;ATL2;NMT1;NDUFAB1;RETSAT;LPCAT3;RMDN3;DLD;CDKN2C;ESYT1;GADD45A;UCP2;SDHB;SLC5A6;UBC;PRDX3;GHITM;RREB1;SQOR;PGM1;ACOX1;UQCR10;TALDO1;SLC1A5;PIM3;ARL4A;REEP5;ACADM;RNF11;SUCLG1;AIFM1;PFKFB3;CAT;G3BP2;ANGPT1;ABCB8;RETN;BCKDHA;PLIN2;HADH;ETFB;ELMOD3;ESRRA","CD8_naive_Tcm","Down with age"
"ALLOGRAFT REJECTION",0.0029838426667661,0.00572897792019091,0.431707695803346,-0.324723779225415,-1.50752168305073,156,"IRF4;GBP2;EIF3A;GZMA;EIF4G3;CCL5;CAPG;PRKCG;EIF3J;CD7;FAS;UBE2N;FYB1;CXCR3;IRF7;NME1;TRAT1;TLR1;UBE2D1;CCND2;CSK;CD74;IRF8;IL27RA;EIF5A;HIF1A;AKT1;IL15;CD2;ETS1;ABCE1;PTPRC;GALNT1;IFNG;IL4R;GLMN;STAT1;TAP1;WAS;TAPBP;ABI1;IL2RG;TGFB1;CCL4;RPS19;BCL10;BRCA1;LCK;NCK1;TRAF2;ST8SIA4;CD3G;TAP2","CD8_naive_Tcm","Down with age"
"ANDROGEN RESPONSE",0.00279263758872397,0.00558527517744793,0.431707695803346,-0.391164483536195,-1.63968204558703,84,"SRP19;ARID5B;PMEPA1;UBE2I;ZBTB10;CAMKK2;SCD;ZMIZ1;DBI;TMEM50A;B4GALT1;MAK;NCOA4;HMGCR;SLC38A2;GSR;SRF;GNAI3;CDK6;IDI1;VAPA;CENPN;MAF;NGLY1;HMGCS1;AKT1;ELOVL5;UBE2J1;TARP;RRP12;STK39;ADRM1;PTK2B;SORD;ELL2;UAP1;PA2G4;XRCC6;TSC22D1;PDLIM5;SGK1","CD8_naive_Tcm","Down with age"
"APICAL JUNCTION",0.000129638773693194,0.000388916321079581,0.518848077743792,-0.381623523342835,-1.7183898348736,130,"EVL;MAP3K20;CDH1;ITGB1;PIK3R3;EPB41L2;JUP;ARPC2;PLCG1;MAPK11;ACTN4;ATP1A3;MSN;PFN1;MVD;RHOF;FYB1;B4GALT1;MAP4K2;PECAM1;AKT2;SKAP2;NF2;BAIAP2;RSU1;ADAM23;RAC2;MYH9;NEGR1;WASL;GNAI2;PTPRC;VAV2;PTEN;MPZL1;NEXN;ADAM9;CDK8;IRS1;ACTB","CD8_naive_Tcm","Down with age"
"APICAL SURFACE",0.761204996326231,0.761204996326231,0.0171521126609418,0.248738168442039,0.813630103097999,30,"EPHB4;MAL;FLOT2;AKAP7;GSTM3;TMEM8B","CD8_naive_Tcm","Not significant"
"APOPTOSIS",0.000372399977199713,0.000940799942399275,0.49849310876659,-0.367033424085875,-1.66146499134183,135,"CD38;PAK1;PMAIP1;JUN;PDCD4;ROCK1;WEE1;SMAD7;CD69;FAS;ETF1;BTG3;CASP2;SPTAN1;RARA;PPP2R5B;DNAJC3;GSR;TNFSF10;BID;CASP4;CASP3;MCL1;CCND2;RELA;GCH1;RETSAT;TOP2A;DNAJA1;ATF3;BCL2L1;BAX;CASP9;EBP;PSEN1;IRF1;CD2;GADD45A;CYLD;TAP1;CDK2;DAP;BIRC3;ANXA1;IGF2R;DFFA;BCL2L11;ISG20;CREBBP;NEFH;LEF1;BNIP3L","CD8_naive_Tcm","Down with age"
"BILE ACID METABOLISM",0.155257586450247,0.196114846042417,0.046458690257145,0.301336371389623,1.19797981026807,78,"EPHX2;ABCA3;APOA1;ABCA5;NR3C2;PHYH;PEX16;PEX1;PIPOX;BCAR3;PFKM;ACSL5;NR1I2;SOAT2;NUDT12;ABCD2","CD8_naive_Tcm","Not significant"
"CHOLESTEROL HOMEOSTASIS",0.0183635518363552,0.0339019418517327,0.162190534576841,-0.380603762777474,-1.50213455683026,62,"TP53INP1;STX5;SQLE;ETHE1;MVD;SCD;HMGCR;ATF5;FASN;IDI1;LDLR;CD9;FBXO6;ATF3;PLSCR1;HMGCS1;EBP;TMEM97;FDPS;TRIB3;PNRC1;CHKA;PDK3;FDFT1;ACTG1","CD8_naive_Tcm","Down with age"
"COAGULATION",0.381179378531073,0.446258784621744,0.027497997582489,0.268535868751908,1.0413703915914,68,"CPQ;C2;APOA1;ISCU;LRP1;CAPN2;PDGFB;KLKB1;DUSP6;CRIP2;CTSO","CD8_naive_Tcm","Not significant"
"COMPLEMENT",0.000408083164712939,0.000979399595311053,0.49849310876659,-0.359909219939576,-1.65277737646558,148,"CR2;CR1;GZMK;GZMA;PREP;FCER1G;GNG2;CCL5;RHOG;PFN1;LAP3;PPP4C;USP15;CALM1;IRF7;RABIF;PIK3CG;CTSB;MAFF;GNAI3;HSPA5;CASP4;PDP1;CASP3;CTSD;TNFAIP3;GNB2;CBLB;RCE1;PLSCR1;CASP9;RASGRP1;PSEN1;IRF1;PRKCD;CTSC;GNAI2;SH2B3;ERAP2;ADAM9;SIRT6;FYN;WAS","CD8_naive_Tcm","Down with age"
"DNA REPAIR",1.30376935580937e-06,5.68917537080453e-06,0.643551836150722,-0.423890573173235,-1.93959231368203,145,"ELOA;HPRT1;ADA;ALYREF;SEC61A1;DGCR8;GUK1;POLB;IMPDH2;MPC2;POLR2K;DDB1;RAE1;SUPT4H1;CANT1;APRT;NELFB;TP53;NME1;NELFCD;SRSF6;FEN1;PDE6G;POLR2G;RALA;DCTN4;POLR2A;GTF3C5;PDE4B;TYMS;SNAPC4;POM121;VPS37B;POLR2F;CMPK2;BRF2;MPG;RFC3;POLR2J;SDCBP;GTF2A2;ADRM1;ELL;POLR2E;RBX1;POLR1D;RFC4;NME4;AGO4;ZWINT;GTF2H1;ITPA;TSG101","CD8_naive_Tcm","Down with age"
"E2F TARGETS",1.13895339830108e-11,7.80996615977882e-11,0.875325132024659,-0.474236856106395,-2.24726006704184,184,"SMC4;CENPE;CTPS1;KPNA2;ING3;PPM1D;HMGA1;HMGB3;BARD1;EZH2;TUBB;SNRPB;PPP1R8;WEE1;BUB1B;NASP;TIMELESS;UBE2S;SYNCRIP;NOLC1;SLBP;LMNB1;LBR;CKS2;MTHFD2;STMN1;PHF5A;TP53;DCK;NME1;TFRC;MCM7;MCM2;DDX39A;TACC3;SMC1A;CHEK1;DNMT1;CCNB2;HNRNPD;RACGAP1;RAN;MCM4;MCM5;GINS3;UBR7;JPT1;CSE1L;ORC6;TOP2A;RANBP1;GSPT1;MSH2;DCLRE1B;DCTPP1;IPO7;CDKN2C;PAICS;MCM6;PLK4;RAD51AP1;RFC3;PRKDC;MCM3;CTCF;POP7;SRSF2;NCAPD2;POLE;SUV39H1;DEK;H2AX;LYAR;SMC6;POLD1;USP1;GINS1;RAD1;NUP153;DIAPH3;PA2G4;XRCC6;BRCA1;TUBG1;NOP56;KIF2C;PCNA;PMS2;ASF1B","CD8_naive_Tcm","Down with age"
"EPITHELIAL MESENCHYMAL TRANSITION",0.512076172782164,0.558628552125997,0.0271296718528132,-0.226416117694504,-0.973681071301266,96,"IGFBP2;FBLN2;ITGB1;PMEPA1;JUN;CAPG;FSTL1;COL6A3;FAS;SNTB1;MCM7;WIPF1;CALU;TNFAIP3;IL15;PPIB;GPX7;GADD45A","CD8_naive_Tcm","Not significant"
"ESTROGEN RESPONSE EARLY",0.123144317352154,0.15975479007847,0.0625245409501155,-0.263665571181786,-1.18717606761952,131,"TIAM1;PMAIP1;UNC119;ABLIM1;ISG20L2;KLF10;RBBP8;RARA;B4GALT1;FKBP4;CANT1;MREG;CLIC3;FHL2;FASN;OPN3;FOS;SLC16A1;FARP1;NXT1;SLC2A1;KLF4;SIAH2;MED24;ADD3;CELSR2;RASGRP1;ELOVL5;AQP3;SLC7A5;PPIF;RETREG1;RRP12;INPP5F;MYBBP1A;LRIG1;CISH;NRIP1;MED13L;FDFT1;NCOR2;AFF1;FCMR;MAST4;RHOBTB3","CD8_naive_Tcm","Not significant"
"ESTROGEN RESPONSE LATE",0.0478839177750907,0.0851269649334946,0.101638713652309,-0.291737247190686,-1.30047018702611,123,"TIAM1;IDH2;HPRT1;CDH1;PDCD4;BTG3;RBBP8;FKBP4;CLIC3;JAK1;RABEP1;SLC29A1;CDC6;GINS2;OPN3;FOS;SLC16A1;FARP1;NXT1;KLF4;CD9;SIAH2;TOP2A;ADD3;CELSR2;ELOVL5;CKB;SNX10;PLK4;SLC7A5;PPIF;XRCC3;ISG20;CISH;NRIP1;ZFP36;SORD;PRKAR2B;FDFT1;NCOR2;AFF1","CD8_naive_Tcm","Not significant"
"FATTY ACID METABOLISM",0.495170310116929,0.552748253153782,0.0224567389112618,0.227023270032941,0.980508583152405,129,"LTC4S;ACSM3;BLVRA;S100A10;SUCLG2;ENO2;PCBD1;REEP6;ECI1;GPD2;ERP29;ECI2;LGALS1;ACSL5;MCEE;CBR3;AUH;UROS;ALDH3A2;MGLL;ENO3;CA6;BCKDHB;NCAPH2;PRDX6;SDHA;INMT;BPHL;SMS;GCDH;ACADS;IDH1;D2HGDH;CPT2","CD8_naive_Tcm","Not significant"
"G2M CHECKPOINT",3.54886522741199e-21,8.51727654578878e-20,1.18665095279281,-0.575005556748977,-2.7164144738666,181,"SMC4;CENPE;H2BC12;RAD23B;SAP30;KPNA2;MAP3K20;HMGA1;ODF2;HMGB3;BARD1;EZH2;TOP1;SQLE;DR1;NASP;UBE2S;SYNCRIP;NOLC1;LMNB1;LBR;SMAD3;SMARCC1;TLE3;UPF1;CHMP1A;CKS2;CHAF1A;NSD2;STMN1;NCL;CDC45;MCM2;E2F3;CUL4A;KNL1;KPNB1;DDX39A;TACC3;ATF5;SMC1A;KMT5A;MTF2;CHEK1;CDC6;GINS2;TFDP1;CCNB2;E2F1;H2AZ2;HNRNPD;CDC7;PML;SS18;FBXO5;RACGAP1;MCM5;NDC80;UCK2;JPT1;TPX2;CUL3;ORC6;TOP2A;HIF1A;GSPT1;INCENP;CENPF;EXO1;CCNF;HSPA8;SNRPD1;CDKN2C;MCM6;PRC1;TNPO2;PLK4;SLC7A5;LIG3;TTK;WRN;PAFAH1B1;KIF5B;KIF23;MCM3;CTCF;SRSF2;POLQ;POLE;SUV39H1;MARCKS;NUP50;H2AX;KATNA1;BUB1;SFPQ;TGFB1;NUP98;RBM14;PRMT5;HMGN2;FANCC;ABL1;KIF2C;CDC27","CD8_naive_Tcm","Down with age"
