Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,KRAS Signaling Dn,0.27357375036014575,1.1002230087853873,0.2755102040816326,1.0,0.999,22/84,14.44%,PRKN;EDAR;SLC5A5;CACNA1F;C5;CALCB;EFHD1;FGGY;COPZ2;MTHFR;ZBTB16;THNSL2;SIDT1;PLAG1;GPR19;OXT;P2RX6;NRIP2;SELENOP;CDKAL1;PDE6B;ALOX12B
prerank,Wnt-beta Catenin Signaling,-0.30458043186592293,-1.0472908637215188,0.3944954128440367,0.3618537423560924,0.996,13/33,23.77%,NKD1;AXIN2;TP53;HDAC2;MAML1;CCND2;KAT2A;NCSTN;LEF1;TCF7;NCOR2;SKP2;DLL1
prerank,Coagulation,0.26853586875190755,1.0340602873803124,0.4032258064516129,1.0,1.0,11/68,9.49%,CPQ;C2;APOA1;ISCU;LRP1;CAPN2;PDGFB;KLKB1;DUSP6;CRIP2;CTSO
prerank,Myogenesis,0.23720317648474262,1.000636763805246,0.4340659340659341,0.9036968773260554,1.0,26/117,14.78%,SORBS3;NAV2;ADCY9;LARGE1;IGFBP3;CNN3;SVIL;FXYD1;PDLIM7;PTP4A3;TNNC1;KCNH2;PFKM;DENND2B;MYOM1;WWTR1;MAPRE3;ITGA7;SPEG;FHL1;SH3BGR;MYH11;SORBS1;MYO1C;ENO3;PSEN2
prerank,Fatty Acid Metabolism,0.227666051217966,0.9714771277820492,0.5157545605306799,0.8248679686669267,1.0,34/128,22.59%,LTC4S;ACSM3;BLVRA;S100A10;SUCLG2;ENO2;PCBD1;REEP6;ECI1;GPD2;ERP29;ECI2;LGALS1;ACSL5;MCEE;CBR3;AUH;UROS;ALDH3A2;MGLL;ENO3;CA6;BCKDHB;NCAPH2;PRDX6;SDHA;INMT;BPHL;SMS;GCDH;ACADS;IDH1;D2HGDH;CPT2
prerank,Epithelial Mesenchymal Transition,-0.22641611769450393,-0.9563090978836519,0.5427927927927928,0.5720409541099893,1.0,18/96,14.29%,IGFBP2;FBLN2;ITGB1;PMEPA1;JUN;CAPG;FSTL1;COL6A3;FAS;SNTB1;MCM7;WIPF1;CALU;TNFAIP3;IL15;PPIB;GPX7;GADD45A
prerank,UV Response Dn,0.21413658288263643,0.8939518708162575,0.6810344827586207,0.9289807299235577,1.0,23/103,18.95%,MAGI2;ARHGEF9;BMPR1A;PEX14;PRKCA;MT1E;ACVR2A;INPP4B;SFMBT1;ANXA4;CDC42BPA;TGFBR3;CDKN1B;PIAS3;SRI;MGLL;IGF1R;MAP1B;DMAC2L;BCKDHB;PIK3CD;ATRX;PRDM2
prerank,Notch Signaling,0.28943389177600076,0.8793533870177859,0.6361974405850092,0.835926700457236,1.0,6/22,15.11%,ARRB1;PRKCA;PPARD;CUL1;PSEN2;MAML2
prerank,Spermatogenesis,-0.21563307736289447,-0.8760517136369175,0.7276595744680852,0.76115631475211,1.0,21/74,20.15%,EZH2;STRBP;MTOR;TOPBP1;MLLT10;CAMK4;CCNB2;NF2;SCG5;GFI1;PCSK4;PGS1;CHFR;TTK;MAST2;RFC4;COIL;TALDO1;NEFH;BUB1;ARL4A
prerank,Apical Surface,0.24873816844203955,0.8168372314094011,0.7575757575757576,0.8553858150497997,1.0,6/30,12.24%,EPHB4;MAL;FLOT2;AKAP7;GSTM3;TMEM8B
