"cell_type","n_sig","n_up_with_age","n_down_with_age"
"CD4 cytoT",566,311,255
"CD4 naive/Tcm",7528,3818,3710
"CD4 Tem",5534,3033,2501
"Tfh",4018,2271,1747
"Treg",3160,1736,1424
