"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","cell_type","direction"
"FATTY ACID METABOLISM",0.00642278693102485,0.0170632617527568,0.303779434551183,-0.330407856203547,-1.45937931746596,131,"BLVRA;UBE2L6;S100A10;ADSL;NTHL1;HSD17B10;CPT1A;ECH1;ELOVL5;PSME1;MDH1;LDHA;SMS;PDHB;MDH2;HADHB;DHCR24;DECR1;ACOX1;ACOT2;ACAT2;SUCLG1;ACAA2;IDH3G;ECI1;ACAA1;FASN;CBR1;D2HGDH;DLD;EHHADH;IDH3B;NSDHL;TP53INP2;HSPH1;RETSAT;GSTZ1;ACSL4;ALDH9A1;FH;IDH1;ACO2;BMPR1B;ACSL1","CD4_Tem","Down with age"
"G2M CHECKPOINT",2.87123673485158e-15,7.03453000038637e-14,1.00731795687447,-0.523674737957976,-2.42793795395796,185,"SMC4;KNL1;CENPE;EZH2;LMNB1;JPT1;NUSAP1;DR1;CKS2;HMGA1;KIF11;H2BC12;RAD23B;HMGB3;SQLE;MAP3K20;TOP2A;BARD1;CENPF;CHEK1;PRC1;TPX2;SS18;FBXO5;NSD2;PML;CUL4A;KIF5B;KIF23;KIF2C;CDC25B;TFDP1;E2F2;CHMP1A;KIF22;TACC3;HSPA8;ODF2;KPNA2;PLK4;CCNF;KATNA1;STMN1;UPF1;CDKN3;H2AZ2;NDC80;MKI67;NASP;CUL3;SYNCRIP;RACGAP1;NUP50;KIF20B;E2F3;MT2A;CCNB2;TLE3;GINS2;BUB1;UCK2;KIF4A;E2F1;UBE2S;LBR;EXO1;EFNA5;ORC6;SMARCC1;RBM14;ABL1;MCM5;BRCA2;HNRNPD;TOP1;GSPT1;PAFAH1B1","CD4_Tem","Down with age"
"HEME METABOLISM",0.00193405597655588,0.00592304642820238,0.45505986738723,-0.339291151852594,-1.54079097273773,160,"BLVRA;OPTN;ACP5;TMCC2;UCP2;PSMD9;HDGF;PGLS;PPP2R5B;CTSB;GYPC;DCAF11;NCOA4;BSG;E2F2;BNIP3L;DAAM1;SYNJ1;BMP2K;CTNS;SLC30A1;ICAM4;CAT;MBOAT2;SMOX;MAP2K3;TMEM9B;LRP10;GDE1;SLC66A2;USP15;NNT;OSBP2;GLRX5;GAPVD1;RANBP10;MARCHF2;PPOX;TFRC;RIOK3;CCDC28A;MARK3;TOP1;HTATIP2;AGPAT4;KDM7A;HTRA2;NUDT4;EPOR;NARF;ATG4A;SDCBP;ISCA1;HEBP1;SEC14L1;TENT5C;SLC6A9;NFE2L1","CD4_Tem","Down with age"
"IL6 JAK STAT3 SIGNALING",0.000552418402236519,0.00225570847579912,0.477270815362862,-0.454350152953488,-1.78512322867119,64,"CRLF2;CD38;IL7;MYD88;IL2RG;BAK1;IL9R;ITGA4;STAT2;IRF9;TNFRSF1B;CXCL13;GRB2;IL17RA;IFNAR1;IL6ST;PTPN11;CSF2;IL10RB;MAP3K8","CD4_Tem","Down with age"
"INFLAMMATORY RESPONSE",0.0201061156101648,0.0394079865959229,0.170004278488927,-0.310418221999088,-1.37613342994074,133,"CHST2;ATP2C1;CCRL2;ADRM1;CXCR6;IRF7;LCK;RGS1;LDLR;RHOG;NMI;EMP3;NAMPT;TNFSF10;LY6E;CD82;NMUR1;ICAM4;IFITM1;SELL;SLC31A1;IL10RA;GCH1;RTP4;TNFRSF1B;P2RX4;HBEGF;PTGER4;GNAI3;ATP2B1;IFNAR1;HRH1;PROK2;IRAK2;EIF2AK2;PTGIR;TAPBP;GNA15;ABI1","CD4_Tem","Down with age"
"INTERFERON ALPHA RESPONSE",4.37469026980138e-11,5.35899558050669e-10,0.851339057116899,-0.591522083678017,-2.48339855825208,94,"CD74;PARP12;UBE2L6;OASL;IL7;CCRL2;PSME2;LAP3;TRIM25;IRF7;PSMB8;ISG15;IFIT3;LGALS3BP;OAS1;EPSTI1;NMI;CNP;PSME1;PARP9;USP18;STAT2;GBP4;LY6E;IRF9;IFITM1;SELL;MX1;PLSCR1;HELZ2;GBP2;RTP4;SAMD9L;TAP1;PARP14;IFI35;CD47;PSMA3;ADAR;RSAD2;TRIM21;WARS1;TMEM140;CMPK2;IFI27;OGFR;EIF2AK2;ISG20;IFI44L;TRAFD1;IFITM2;PSMB9","CD4_Tem","Down with age"
"INTERFERON GAMMA RESPONSE",6.34388164032335e-13,1.03616733458615e-11,0.921426003494898,-0.504775232584865,-2.33112563020524,178,"CD74;CD38;PSMB2;PARP12;UBE2L6;SAMHD1;OASL;MVP;IL7;NCOA3;PSME2;PSMA2;LAP3;TRIM25;MYD88;IRF7;PSMB8;ISG15;IFIT3;ITGB7;LGALS3BP;RBCK1;ARID5B;PML;EPSTI1;CASP4;NMI;PSMB10;MTHFD2;PSME1;APOL6;CASP3;OAS2;NAMPT;USP18;TNFSF10;STAT2;GBP4;LY6E;RNF213;SPPL2A;IRF9;XAF1;MX1;IL10RA;PLSCR1;HELZ2;GCH1;RTP4;SAMD9L;TAP1;PARP14;IRF4;CIITA;IFI35;CD274;IFIT1;ZNFX1;PSMA3;IRF5;MT2A;TOR1B;VAMP8;ADAR;RSAD2;TRIM21;WARS1;CMPK2;OAS3;NUP93;PELI1;IFI27;OGFR;EIF4E3;EIF2AK2;TAPBP;ISG20;IFI44L;TRAFD1;IFITM2;PFKP;PSMB9;ISOC1;SOD2","CD4_Tem","Down with age"
"MITOTIC SPINDLE",8.1079797019697e-10,6.62151675660859e-09,0.801215574617779,-0.452014512644296,-2.09569626227983,185,"SMC4;CAPZB;CENPE;LMNB1;NUSAP1;MYO1E;FLNB;NET1;KIF11;PPP4R2;PALLD;BCL2L11;ACTN4;ECT2;ARHGEF11;MARK4;TOP2A;TLK1;CENPF;RHOF;SPTBN1;PRC1;TPX2;WASF2;FBXO5;KIF5B;KIF23;KIF2C;ATG4B;PDLIM5;TBCD;PCNT;PXN;SEPTIN9;KIF22;BIN1;ARL8A;MAP1S;YWHAE;KATNA1;KIF3C;PREX1;KPTN;ARHGAP4;CKAP5;NDC80;PKD2;RACGAP1;KIF20B;FLNA;BCR;ANLN;CCNB2;HOOK3;EZR;BUB1;SAC3D1;MYH9;KIF4A;NCK1;CDC42;RALBP1;SMC3;TSC1;MAPRE1;NIN","CD4_Tem","Down with age"
"MTORC1 SIGNALING",3.15396088683676e-10,3.09088166910003e-09,0.814035837847908,-0.454002696789786,-2.1122795682216,192,"PSMA4;SHMT2;SEC11A;SLC6A6;BCAT1;PSMD13;HPRT1;PFKL;GAPDH;SQLE;PSMC2;PHGDH;SLC1A4;PSMC4;RPN1;LDLR;CTSC;ACTR2;TRIB3;TXNRD1;CFP;ELOVL5;MTHFD2;NFYC;ITGB2;NAMPT;LDHA;TUBG1;IMMT;GPI;CORO1A;PSAT1;CCNF;PIK3R3;COPS5;ATP6V1D;PSMD14;SRD5A1;SLC1A5;ENO1;YKT6;PRDX1;CCT6A;TPI1;STARD4;DHCR24;DAPP1;NFKBIB;MAP2K3;ACTR3;PSMA3;GSR;NHERF1;EEF1E1;RIT1;FDXR;ACLY;CALR;SCD;BUB1;RRM2;PSMC6;WARS1;PGM1;SLC2A3;CYB5B;ETF1;EIF2S2;ADD3;PPIA;TFRC;SDF2L1;PITPNB;PGK1;INSIG1;MCM4;UBE2D3;PSME3;QDPR;IDH1;EBP;HSPA4;RPA1;NMT1","CD4_Tem","Down with age"
"MYC TARGETS V1",0.000103221340005064,0.00055617334491643,0.538434096309916,-0.349775294759275,-1.63511125502391,199,"PPM1G;COX5A;PSMA4;PSMD8;PSMB2;PSMB3;EIF3J;RAD23B;HPRT1;UBE2L3;VDAC1;PSMA2;PSMA7;PSMC4;HDGF;STARD7;PSMD1;TFDP1;PSMA6;NDUFAB1;LDHA;CCT3;NME1;KPNA2;SERBP1;YWHAE;CCT5;COPS5;PSMD14;YWHAQ;PHB1;CSTF2;LSM2;EIF3B;NOP16;SYNCRIP;PCNA;CYC1;PCBP1;TXNL4A;SNRPD3;PRDX3;SLC25A3;SNRPB2;CCT2;VDAC3;PSMC6;PWP1;SET;ETF1;AIMP2;EIF2S2;TRIM28;EIF4G2;SRPK1;SMARCC1;PPIA;PRPF31;TYMS;RUVBL2;PSMD3;SF3A1;U2AF1;LSM7;EIF4A1;PGK1;SNRPG;MCM5;MCM4;HNRNPD;GSPT1;HNRNPR;MRPL23","CD4_Tem","Down with age"
"OXIDATIVE PHOSPHORYLATION",9.93245868040909e-18,4.86690475340045e-16,1.0864405425825,-0.5370061783697,-2.50952609263319,198,"ATP5F1C;COX5A;SLC25A5;ATP5F1B;TIMM8B;ATP5MF;IDH2;UQCR10;COX6A1;NDUFS6;VDAC1;ATP5F1E;ATP6V0B;UQCRC1;NDUFA2;ATP5MC3;ETFB;ATP6V1F;OGDH;NDUFB6;ATP5PB;NDUFA9;HSD17B10;NDUFA6;CPT1A;NDUFS7;ECH1;FXN;NDUFC2;BDH2;ETFA;NDUFB2;NDUFAB1;COX6B1;MDH1;SLC25A12;LDHA;SLC25A20;IMMT;GPI;NDUFA7;ATP6V1D;MRPS12;PDHB;COX7B;NDUFS3;CS;MDH2;HADHB;ALAS1;DECR1;ATP5PF;CYB5R3;TIMM13;COX6C;MRPL15;UQCRH;CYC1;POR;LDHB;NDUFS2;PRDX3;SUCLG1;SLC25A3;NNT;UQCRQ;ACAA2;NQO2;IDH3G;VDAC3;ECI1;NDUFS8;NDUFA8;ACAA1;TIMM17A;GLUD1;VDAC2;DLD;UQCRFS1;MRPS22;COX5B;IDH3B;MRPS11;PMPCA;NDUFB3;RETSAT;MRPL35;FH;ATP5PD;PDP1;NDUFB4;RHOT1;POLR2F;IDH1;BCKDHA;NDUFB5;ACO2;HTRA2;AIFM1","CD4_Tem","Down with age"
"PEROXISOME",0.00681163217186272,0.0170632617527568,0.285313392143872,-0.370476083353033,-1.53599960353644,86,"IDH2;SLC27A2;MVP;PRDX5;CLN6;TOP2A;GSTK1;ECH1;ELOVL5;SCP2;ABCD1;ATXN1;PRDX1;CAT;DHCR24;FDPS;ACOX1;IDE;CDK7;HRAS;SLC25A19;ACAA1;SMARCC1;SLC25A17;EHHADH;RETSAT;ACSL4;ALDH9A1;ISOC1;SOD2;FIS1;IDH1;ACSL1;CTPS1;ACOT8;VPS4B","CD4_Tem","Down with age"
"PI3K AKT MTOR SIGNALING",2.18365891559891e-06,1.33749108580434e-05,0.627256739718528,-0.488520269586011,-2.05096405805061,94,"PFN1;ARPC3;PPP1CA;YWHAB;UBE2N;AP2M1;CSNK2B;MYD88;RPS6KA1;LCK;CFL1;IL2RG;PRKAG1;ACTR2;TRIB3;RAC1;PLCG1;IL4;MKNK2;RALB;STAT2;PIK3R3;MAPK1;DAPP1;GRB2;NFKBIB;MAP2K3;ACTR3;DUSP3;RIT1;TRAF2;CALR;HRAS;PTEN;CLTC;NCK1;E2F1;PTPN11;PIN1","CD4_Tem","Down with age"
"REACTIVE OXYGEN SPECIES PATHWAY",0.00110843052622443,0.00417793044499979,0.45505986738723,-0.504753616074787,-1.84627588526879,46,"PDLIM1;TXN;LAMTOR5;LSP1;NQO1;NDUFA6;TXNRD1;HMOX2;PTPA;FES;PRDX1;CAT;GSR;NDUFS2;STK25;SBNO2;EGLN2;PFKP;ABCC1;SOD2;NDUFB4;ERCC2","CD4_Tem","Down with age"
"UV RESPONSE UP",0.00346168029734462,0.00997778438646391,0.431707695803346,-0.349720254392566,-1.53237951339987,123,"AP2S1;BCL2L11;TARS1;ATP6V1F;RPN1;CLTB;STARD3;CHKA;BAK1;BSG;CNP;CASP3;DGAT1;PSMC3;TST;SIGMAR1;NAT1;GCH1;TAP1;YKT6;CDC34;FKBP4;ALAS1;KLHDC3;NUP58;MARK2;PRKCD;FEN1;STK25;CDC5L;ACAA1;CCNE1;PPIF;CYB5B;IL6ST;BTG3;SULT1A1;TFRC","CD4_Tem","Down with age"
"XENOBIOTIC METABOLISM",0.00128528370281348,0.00449849295984716,0.45505986738723,-0.357905817537862,-1.57653860589422,128,"SHMT2;SLC6A6;BCAT1;HPRT1;NQO1;DDAH2;ESR1;GCNT2;ECH1;PDLIM5;PYCR1;ELOVL5;PSMB10;ADH5;GCH1;SLC1A5;DHRS1;ALAS1;CAT;MTHFD1;SMOX;ACOX1;GSR;POR;MT2A;SLC35D1;IGFBP4;PGD;AHCY","CD4_Tem","Down with age"
