"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","cell_type","direction"
"IL2 STAT5 SIGNALING",0.000225192548277529,0.00270231057933034,0.518848077743792,0.411396981332734,1.713222038637,153,"RORA;AHNAK;SYT11;TIAM1;BATF;LRIG1;CST7;GALM;TNFRSF9;CCR4;ALCAM;PRNP;ADAM19;GPR65;LRRC8C;PHLDA1;SELP;CTSZ;PHTF2;PLEC;CD48;CDC42SE2;CAPN3;ANXA4;TNFRSF18;TRAF1;HOPX;CSF1;IL10RA;NDRG1;MYO1C;IL18R1;MAPKAPK2;RABGAP1L;NFIL3;ODC1;GLIPR2;COCH;CAPG;FGL2;SLC1A5;CTLA4;SH3BGRL2;SYNGR2;CDCP1;P4HA1;PLPP1;TNFRSF1B;IL2RB;ITGAV","Treg","Up with age"
"IL6 JAK STAT3 SIGNALING",0.0589756854630109,0.157268494568029,0.0945554515592395,-0.35671383792699,-1.35069609167198,56,"CD38;IFNGR2;ITGA4;IL4R;TLR2;LTB;PIM1;JUN;ACVR1B;IL6ST","Treg","Not significant"
"INFLAMMATORY RESPONSE",0.0198244123477768,0.0951571792693288,0.172450317477257,-0.325411237264983,-1.39261394776046,112,"IFNGR2;CCR7;IFITM1;ABCA1;CALCRL;NFKB1;RGS1;IL4R;CHST2;SELL;TLR2;HIF1A;CD55;IRF7;MSR1;ACVR1B;CCRL2;GPC3;RNF144B;DCBLD2;CD69;NMI;NFKBIA;PTGER2;PTGIR;LAMP3;MXD1;RIPK2;PDE4B;TLR1;RGS16;MYC;IL7R","Treg","Not significant"
"INTERFERON ALPHA RESPONSE",0.000214310329159372,0.00270231057933034,0.518848077743792,-0.438450327456539,-1.82292457577546,92,"LGALS3BP;IFITM1;IL4R;SELL;USP18;GBP4;SP110;IRF7;PLSCR1;IFI44L;CCRL2;CMPK2;MX1;RSAD2;NMI;IFITM2;NUB1;PSMB8;IRF9;LAP3;PSME2;DDX60;ISG15;LAMP3;RIPK2;PNPT1;PARP9;CNP;EPSTI1;IFIT3;DHX58;CMTR1;OAS1;EIF2AK2;UBE2L6;IFI35;ADAR;IFI44;TRAFD1;TRIM25;STAT2;IFIH1;SAMD9L;LY6E;IFI27;IRF1;RTP4;IFIT2","Treg","Down with age"
"INTERFERON GAMMA RESPONSE",0.0317559153175592,0.11534076938552,0.142470368773132,-0.285659340165352,-1.29876051721942,172,"CD38;LGALS3BP;NFKB1;KLRK1;RAPGEF6;IL4R;USP18;HIF1A;GBP4;SP110;IRF7;PLSCR1;NCOA3;UPP1;PIM1;IFI44L;CMPK2;CD69;AUTS2;MX1;IRF8;RSAD2;GPR18;NMI;IFITM2;PSMB8;NFKBIA;IRF9;LAP3;PSME2;MX2;DDX60;ISG15;IFIT1;RIPK2;BANK1;XAF1;PNPT1;PDE4B","Treg","Not significant"
"KRAS SIGNALING DN",0.390998959417274,0.493893422421819,0.0343095321114226,-0.264585756244266,-1.02979738433848,63,"SKIL;ARPP21;CHST2;IFI44L;LYPD3;STAG3;PLAG1;CAMK1D;MX1;RSAD2;SNN;GTF3C5;KCNQ2","Treg","Not significant"
"KRAS SIGNALING UP",0.15664704059498,0.305358157147365,0.0430303966229415,0.303501336796498,1.19334110395845,103,"NAP1L2;KIF5C;GALNT3;PRDM1;ERO1A;ADAM8;ANKH;MAP4K1;LCP1;FLT4;WNT7A;TRAF1;IL10RA;HDAC9;TRIB1;LAT2;RABGAP1L;MAP3K1;VWA5A","Treg","Not significant"
"MITOTIC SPINDLE",0.174649963154016,0.322430701207415,0.0393579006834084,0.273174656623162,1.15264174775301,170,"ARHGEF12;ARHGAP10;TIAM1;SPTAN1;FLNA;ACTN4;VCL;EZR;KIF3B;NUSAP1;SUN2;BRCA2;PXN;CEP192;KIF20B;CLIP1;KIF1B;DYNC1H1;NDC80;PREX1;RACGAP1;ECT2;NF1;ARHGAP5;MARK4;PLEKHG2;ARHGDIA;TPX2;KIF11;MYH9;AKAP13;MAP3K11;RHOT2;KIF22;ABR;DLG1;KNTC1;CENPE;SOS1;NEDD9;TAOK2;KIF5B;TOP2A;KIF23;NCK1;KATNB1;YWHAE;BUB1;PRC1;ARL8A;ARAP3;AURKA;RANBP9;PCM1;DOCK2","Treg","Not significant"
"MTORC1 SIGNALING",0.367498904949628,0.488291860565766,0.0248789530285044,0.243063309940018,1.03887766454635,189,"NIBAN1;ERO1A;ELOVL5;TBK1;CANX;DAPP1;SQSTM1;ALDOA;SLC1A4;IFI30;SLA;HSP90B1;NFIL3;GAPDH;PSMD14;PRDX1;SLC6A6;FGL2;SLC1A5;SYTL2;TFRC;GGA2;CTSC;NUP205;SLC7A5;P4HA1;ACTR2;HPRT1;SSR1;CYB5B;TXNRD1;SKAP2;EDEM1;BHLHE40;SEC11A;PGM1;TPI1;GSR;ATP2A2;CDKN1A;DDIT4;BUB1;TCEA1;PSMD12;MAP2K3;NHERF1;NAMPT;AURKA;RRM2","Treg","Not significant"
"MYC TARGETS V1",3.11712181868306e-09,1.49621847296787e-07,0.774939030136436,-0.442769978219339,-2.0541616483253,198,"SERBP1;CCT2;IMPDH2;EIF3B;EIF4A1;GNL3;C1QBP;NME1;TRIM28;VDAC1;EIF4G2;LSM7;UBA2;APEX1;CCT4;RAN;HDAC2;PCBP1;DDX21;ABCE1;NOLC1;RPLP0;SET;MCM7;HSP90AB1;NOP16;SNRPG;UBE2E1;PABPC1;SYNCRIP;ILF2;RPL6;RSL1D1;CTPS1;XRCC6;RAD23B;CCT5;PPIA;CCT7;NCBP2;NHP2;SNRPD3;SRM;RPS5;CCT3;POLE3;GSPT1;RPS2;MRPS18B;PPM1G;MYC;CYC1;HDDC2;DHX15;ETF1;PRPS2;IFRD1;PWP1;RACK1;RPL22;HNRNPA2B1;PHB1;TFDP1;PSMD3;NOP56;LDHA;SRSF2;KARS1;PSMC6;COPS5;CLNS1A;RNPS1;IARS1;KPNA2;EIF4E;SNRPB2;RPL18;LSM2;HNRNPA3;HDGF;TXNL4A;PSMA2;SMARCC1;TARDBP;EIF3D;PA2G4;PSMD8;HNRNPA1;SSBP1;U2AF1;FBL;PSMD7;TUFM","Treg","Down with age"
