Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Hypoxia,0.2637819416114251,1.170866217637783,0.1393596986817326,0.3269054222986171,0.984,44/121,25.86%,S100A4;IGFBP3;RORA;BCL2;PNRC1;HEXA;PLAC8;TKTL1;UGP2;BHLHE40;SLC2A1;RRAGD;IER3;SAP30;NDRG1;TGFBI;DDIT4;GBE1;FOXO3;KLF6;EXT1;NR3C1;DUSP1;TPST2;PGM1;PDGFB;FOSL2;GAA;PAM;WSB1;TPI1;B3GALT6;CXCR4;ILVBL;KDM3A;MXI1;XPNPEP1;ENO2;SLC25A1;GPI;DDIT3;TES;P4HA1;HSPA5
prerank,Apoptosis,-0.2571617448619444,-1.1643764776453667,0.16114790286975716,0.27855340622371744,0.971,34/121,18.92%,CD38;LEF1;CASP4;TAP1;BNIP3L;ISG20;GADD45A;CASP9;TOP2A;SOD2;HMOX1;GPX1;BCL2L11;CYLD;ETF1;TNFSF10;VDAC2;MCL1;SPTAN1;SOD1;APP;CASP6;BRCA1;GCH1;CFLAR;PPP2R5B;GSTM1;BTG3;BTG2;PSEN1;BMF;FAS;CASP3;DFFA
prerank,Complement,-0.2541504643185487,-1.1401648022737996,0.20224719101123595,0.3099309810832099,0.985,32/123,17.08%,RHOG;PDP1;CASP4;GNB4;GZMK;F5;CASP9;IRF7;PLSCR1;CD59;PHEX;CALM3;LCK;LAP3;ZEB1;CTSB;CSRP1;DUSP5;APOBEC3F;LGMN;ERAP2;MSRB1;PSMB9;CDK5R1;TNFAIP3;HSPA1A;PFN1;WAS;DGKH;PREP;GNB2;PSEN1
prerank,TNF-alpha Signaling via NF-kB,-0.246084558788848,-1.1327542987604355,0.19088937093275488,0.31038730450000424,0.986,37/139,17.01%,PDE4B;TAP1;DUSP2;GADD45A;GPR183;SIK1;RELB;NAMPT;SOCS3;JUNB;DENND5A;DUSP4;SOD2;IL6ST;NFKB2;DUSP5;SLC2A3;SGK1;NFAT5;MCL1;TNFAIP8;LDLR;PTGER4;TNFAIP3;NR4A3;TIPARP;STAT5A;NFKB1;PMEPA1;MAP2K3;GCH1;CFLAR;KLF10;BTG3;SPHK1;SNN;BTG2
prerank,Myogenesis,0.2767617258383746,1.117138333525232,0.2591943957968476,0.4027007318280074,0.997,14/75,12.50%,SVIL;SGCD;PRNP;IGFBP3;NCAM1;ADCY9;ITGB1;BHLHE40;TPM3;FKBP1B;RB1;DMPK;SORBS3;LAMA2
prerank,KRAS Signaling Up,-0.25892291849076515,-1.1048966918039829,0.26339285714285715,0.3546844463946888,0.995,21/88,12.20%,ETS1;LY96;TRIB2;TNFRSF1B;PTCD2;NIN;GYPC;LAPTM5;PSMB8;PECAM1;ENG;EVI5;KCNN4;VWA5A;RBM4;MAP3K1;GADD45G;RGS16;SDCCAG8;TNFAIP3;IL10RA
prerank,Estrogen Response Early,0.25359419788704746,1.102105615937321,0.251865671641791,0.39641768888194395,0.998,17/99,8.65%,SVIL;MYBL1;XBP1;BCL2;ADCY9;PRSS23;DYNLT3;ABHD2;CHPT1;CELSR2;MREG;BHLHE40;SLC2A1;SNX24;PLAAT3;MAPT;DHRS3
prerank,TGF-beta Signaling,-0.29929782674691346,-1.0922179017180524,0.32783505154639175,0.3627698345948977,0.995,11/39,17.79%,SPTBN1;HDAC1;JUNB;FKBP1A;ENG;UBE2D3;ACVR1;ID1;PMEPA1;KLF10;SMAD3
prerank,Apical Surface,0.3543851384427207,1.0904775337408918,0.3514018691588785,0.38328633629047726,0.999,8/22,23.09%,LYN;ADIPOR2;EFNA5;TMEM8B;CRYBG1;CD160;ADAM10;AKAP7
prerank,p53 Pathway,-0.2294156952032728,-1.0781317322067494,0.29653679653679654,0.3772656761050369,0.997,33/158,14.98%,HINT1;DGKA;LDHB;TAP1;GADD45A;MKNK2;TRAF4;PVT1;IP6K2;H2AJ;DEF6;WWP1;PIDD1;TRAFD1;BAK1;HMOX1;CD82;MXD4;CD81;GM2A;H1-2;ADA;VAMP8;VWA5A;RGS16;PLK3;CDK5R1;XPC;APP;ABAT;RACK1;ZFP36L1;CDKN2A
prerank,Spermatogenesis,0.261360524589391,0.9920069759189322,0.45126353790613716,0.5848113133838581,1.0,25/52,28.95%,ARL4A;MLF1;TKTL1;BRAF;NF2;TOPBP1;TLE4;MAST2;MLLT10;NCAPH;SPATA6;GFI1;CCT6B;TSN;JAM3;AGFG1;LPIN1;SLC12A2;PRKAR2A;IFT88;GSTM3;PEBP1;CSNK2A2;VDAC3;COIL
prerank,Myc Targets V2,-0.2574205568552406,-0.9902791042073089,0.48758465011286684,0.5826055077526903,1.0,23/53,34.49%,HSPD1;DUSP2;MCM4;TCOF1;MRTO4;RRP12;GRWD1;NPM1;AIMP2;DCTPP1;RRP9;PPAN;TMEM97;WDR74;FARSA;HSPE1;NIP7;EXOSC5;SRM;TBRG4;NOP16;NDUFAF4;PES1
prerank,Apical Junction,0.2302773878476891,0.9695840829609056,0.5112359550561798,0.596350676435058,1.0,36/90,29.99%,AKT3;SKAP2;VCL;CD99;ITGB1;NF2;MAPK14;MYL12B;TGFBI;TAOK2;ACTN4;WASL;AMIGO2;SORBS3;RRAS;MPZL1;NECTIN3;TIAL1;TMEM8B;ADAM9;NF1;PTPRC;GNAI2;EPB41L2;MSN;JAM3;CAP1;PARD6G;SGCE;ATP1A3;PIK3CB;PKD1;ARHGEF6;MAPK13;STX4;CTNNA1
prerank,Bile Acid Metabolism,-0.23378188419932272,-0.9281295546326139,0.6024340770791075,0.7353552973588484,1.0,13/62,13.31%,PXMP2;OPTN;ATXN1;LCK;SULT1B1;GSTK1;ALDH9A1;IDH2;PECR;SLC35B2;PRDX5;SOD1;CAT
prerank,Estrogen Response Late,-0.21380645225545347,-0.9170901267848597,0.6401766004415012,0.7385157595418318,1.0,13/89,8.17%,ETFB;MYB;DUSP2;ISG20;FLNB;TOP2A;TIAM1;SLC1A4;IL6ST;IGFBP4;IDH2;SGK1;ELOVL5
prerank,KRAS Signaling Dn,-0.2382659569926764,-0.9053691568224085,0.6195426195426196,0.7445517499170236,1.0,13/50,17.01%,TENT5C;MX1;PDCD1;SGK1;C5;MFSD6;PDE6B;PDK2;ASB7;BARD1;PTPRJ;SNN;BTG2
prerank,DNA Repair,-0.1935006857962967,-0.8924851248988022,0.7305263157894737,0.753823630190325,1.0,47/139,29.73%,PDE4B;CANT1;POLD4;RPA3;MPG;TAF9;NT5C;POLR2D;POLB;ELOA;ADA;RALA;PDE6G;NELFCD;GTF2H5;RBX1;XPC;SRSF6;TARBP2;ERCC2;HPRT1;ITPA;NME1;POLD1;POLA1;CSTF3;POM121;POLD3;AAAS;SURF1;GTF2A2;NUDT21;DCTN4;ERCC8;POLL;POLR2F;POLR2A;VPS28;SDCBP;POLR1D;AK1;GPX4;TAF10;RAD52;CMPK2;NCBP2;GTF3C5
prerank,Wnt-beta Catenin Signaling,-0.25065828514704724,-0.8595498956742785,0.6891304347826087,0.8066294678519644,1.0,4/27,7.68%,LEF1;TCF7;HDAC5;PPARD
prerank,Unfolded Protein Response,0.2011218667568681,0.8577443861555133,0.7508896797153025,0.8251481700579286,1.0,19/102,15.64%,RPS14;HSP90B1;XBP1;SPCS3;WIPI1;SRPRA;SSR1;DDIT4;NOLC1;NOP14;DKC1;HYOU1;PDIA6;CNOT4;EXOSC10;SPCS1;IMP3;FKBP14;TUBB2A
prerank,PI3K/AKT/mTOR  Signaling,-0.1927447270005032,-0.8337425960807704,0.8294392523364486,0.8307167554434165,1.0,28/90,24.86%,MKNK2;TIAM1;CAMK4;CSNK2B;LCK;PTPN11;STAT2;DAPP1;UBE2D3;PLCG1;ARPC3;RIT1;UBE2N;TRAF2;PFN1;GRK2;MAP2K3;PAK4;RAC1;HRAS;GRB2;IL2RG;CDKN1A;CDKN1B;AP2M1;PPP1CA;RAF1;ITPR2
prerank,Glycolysis,0.17648996902312913,0.7801211274044134,0.92,0.9010860223454957,1.0,35/121,25.89%,IGFBP3;TKTL1;UGP2;AK3;RRAGD;IER3;SAP30;TGFBI;DDIT4;CTH;B3GAT1;SLC25A13;B4GALT7;EXT1;PLOD1;GUSB;GMPPB;PAM;NT5E;QSOX1;EXT2;KIF2A;TPI1;B3GALT6;ARPP19;CXCR4;GNE;MXI1;ENO2;GLCE;B4GALT4;GALE;P4HA1;HSPA5;SRD5A3
