"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","cell_type","direction"
"ADIPOGENESIS",0.0689192213023048,0.179997753818509,0.0809972046193163,-0.265965607687955,-1.24247242289104,153,"ETFB;GADD45A;PIM3;LPCAT3;TKT;CCNG2;TALDO1;SQOR;NDUFS3;ATP1B3;UCP2;MDH2;PLIN2;REEP5;DDT;PFKL;DNAJC15;ABCB8;COX7B;GPAT4;MRPL15;G3BP2;ACO2;SOD1;PRDX3;CAT;SUCLG1;STAT5A;HADH;DHCR7;DECR1;JAGN1;COQ5;IMMT;ACOX1;ECHS1;LIPE;SDHB;ESRRA;MAP4K3;HIBCH;POR;EPHX2;UQCR10;ECH1;COX8A;SLC5A6;PREB;SORBS1;SLC1A5;RETSAT","CD4_cytoT","Not significant"
"ALLOGRAFT REJECTION",0.00398053958425475,0.0233856700574967,0.34452128726268,-0.322417930789771,-1.49397402428697,144,"CXCR3;LTB;CCR5;CD28;CD74;ETS1;CCR2;APBB1;TAP1;IL10;FYB1;IRF7;TRAT1;NCF4;IRF4;STAT1;SIT1;IL16;CSK;TAP2;GBP2;LCK;DEGS1;CD7;HLA-DMA;EIF3J;AARS1;PSMB10;DARS1;UBE2N;IL12RB1;CD8B;EIF3A;TRAF2;HLA-DRA;BRCA1;CDKN2A;WAS;WARS1;EIF5A;NPM1;CD3E;HIF1A;IL27RA;NME1","CD4_cytoT","Down with age"
"ANDROGEN RESPONSE",0.0408240408240408,0.147028154327424,0.0972120409994456,0.340394199102771,1.3852822483892,76,"AKT1;CDC14B;CCND3;ABCC4;MYL12A;SPCS3;PIAS1;ABHD2;PDLIM5;SEC24D;NDRG1;PGM3;DHCR24;B2M;TSC22D1;ZBTB10;PA2G4;CDK6;STK39;GPD1L;FKBP5;INPP4B;UAP1;HERC3","CD4_cytoT","Not significant"
"APICAL JUNCTION",0.475877604655528,0.573493523559227,0.0247606204591662,0.234068954017532,0.984442828320672,91,"AKT3;SKAP2;VCL;CD99;ITGB1;NF2;MAPK14;MYL12B;TGFBI;TAOK2;ACTN4;WASL;AMIGO2;SORBS3;RRAS;MPZL1;NECTIN3;TIAL1;TMEM8B;ADAM9;NF1;PTPRC;GNAI2;EPB41L2;MSN;JAM3;CAP1;PARD6G;SGCE;ATP1A3;PALS1;PIK3CB;PKD1;ARHGEF6;MAPK13;STX4;CTNNA1","CD4_cytoT","Not significant"
"APICAL SURFACE",0.324581430745814,0.435866492715808,0.0318160314817552,0.35438513844272,1.0951626158148,22,"LYN;ADIPOR2;EFNA5;TMEM8B;CRYBG1;CD160;ADAM10;AKAP7","CD4_cytoT","Not significant"
"APOPTOSIS",0.159189895470383,0.277108336559556,0.0513917494830751,-0.257161744861944,-1.15895809095362,121,"CD38;LEF1;CASP4;TAP1;BNIP3L;ISG20;GADD45A;CASP9;TOP2A;SOD2;HMOX1;GPX1;BCL2L11;CYLD;ETF1;TNFSF10;VDAC2;MCL1;SPTAN1;SOD1;APP;CASP6;BRCA1;GCH1;CFLAR;PPP2R5B;GSTM1;BTG3;BTG2;PSEN1;BMF;FAS;CASP3;DFFA","CD4_cytoT","Not significant"
"BILE ACID METABOLISM",0.564585115483319,0.647207327505268,0.024091911219722,-0.237657091023325,-0.945452694495829,61,"PXMP2;OPTN;ATXN1;LCK;SULT1B1;GSTK1;ALDH9A1;IDH2;PECR;SLC35B2;PRDX5;SOD1;CAT","CD4_cytoT","Not significant"
"CHOLESTEROL HOMEOSTASIS",0.0701604278074866,0.179997753818509,0.0784040413719235,-0.336278685239493,-1.32922633187824,59,"PLSCR1;TP53INP1;ALCAM;ACAT2;ACTG1;GSTM2;LGMN;STARD4;PMVK;LDLR;FASN;CHKA;ALDOC;ATF5;DHCR7;STX5;FABP5","CD4_cytoT","Not significant"
"COAGULATION",0.0476911430734292,0.149432248296745,0.0898202850323628,0.388747109518527,1.42595645343683,45,"CFH;CPQ;F8;CTSH;PRSS23;ANXA1;CTSO;CAPN2;TIMP1;ISCU;DUSP14;PDGFB;F2RL2;ADAM9;A2M;PLEK","CD4_cytoT","Not significant"
"COMPLEMENT",0.173236968900569,0.280763363390578,0.0492427760728062,-0.254150464318549,-1.14628599215104,123,"RHOG;PDP1;CASP4;GNB4;GZMK;F5;CASP9;IRF7;PLSCR1;CD59;PHEX;CALM3;LCK;LAP3;ZEB1;CTSB;CSRP1;DUSP5;APOBEC3F;LGMN;ERAP2;MSRB1;PSMB9;CDK5R1;TNFAIP3;HSPA1A;PFN1;WAS;DGKH;PREP;GNB2;PSEN1","CD4_cytoT","Not significant"
"DNA REPAIR",0.621024734982332,0.694735904780279,0.0230690057152936,-0.202959160186787,-0.936777718792038,140,"PDE4B;CANT1;POLD4;POLR1H;RPA3;MPG;TAF9;NT5C;POLR2D;POLB;ELOA;ADA;RALA;PDE6G;NELFCD;GTF2H5;RBX1;XPC;SRSF6;TARBP2;ERCC2;HPRT1;ITPA;NME1;POLD1;POLA1;CSTF3;POM121;POLD3;AAAS;SURF1;GTF2A2;NUDT21;DCTN4;ERCC8;POLL;POLR2F;POLR2A;VPS28;SDCBP;POLR1D;AK1;GPX4;TAF10;RAD52;CMPK2;NCBP2;GTF3C5","CD4_cytoT","Not significant"
"E2F TARGETS",0.000320052158651048,0.00300849029131985,0.49849310876659,-0.345986680849262,-1.63679462861294,166,"TACC3;MTHFD2;LMNB1;LBR;TOP2A;JPT1;SMC6;KPNA2;GSPT1;NASP;MCM4;CHEK1;EZH2;SMC4;RPA3;CKS2;CENPM;MKI67;HMGB3;HELLS;SLBP;CENPE;HMGA1;ZW10;HNRNPD;BRCA1;TUBB;CDKN2A;BARD1;MSH2;SYNCRIP;TUBG1;UBE2T;DNMT1;NME1;GINS4;DCLRE1B;POLD1;PPP1R8;H2AX;CDKN3;PRIM2;IPO7;PTTG1;DCTPP1;NAP1L1;H2AZ1;RRM2;PHF5A;POLD3;RAN;CBX5;CDKN1A;XRCC6;TCF19;BRMS1L;CDKN1B;NUDT21","CD4_cytoT","Down with age"
