"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
106.084151484305,-0.111058315199268,0.0236217065067623,-4.70153649430347,2.5821110239562e-06,0.00506610182900206,"IKZF1"
73.8722759131546,-0.156801170881479,0.0349497503563092,-4.48647470390796,7.24113100753533e-06,0.00710354951839216,"DIP2A"
414.586790169049,-0.164313869571127,0.0373592605039867,-4.39820990443834,1.09147391843846e-05,0.00713823942658752,"TXNIP"
23.0192987886972,-0.45812195766502,0.106385640473127,-4.30623865803339,1.66053901224197e-05,0.00814494385504685,"FKBP5"
37.8802505762451,-0.14456278200111,0.0360418363992519,-4.01097159422515,6.04693861143888e-05,0.0237281871112861,"ITGAX"
88.4742265440891,-0.229798834897004,0.059137065335132,-3.88586808619477,0.000101964866779703,0.033342511436963,"IL32"
24.9310819792522,-0.162530365106398,0.0434570425819134,-3.74002360607122,0.000184002973670241,0.0389352780907306,"ERAP2"
244.784624087217,-0.106788220859467,0.028639917551213,-3.72864973052075,0.000192508512971787,0.0389352780907306,"ENSG00000289901"
89.5179634963019,-0.11987182686836,0.0322150754973682,-3.72098543981847,0.000198446881196384,0.0389352780907306,"GZMH"
69.446386612915,-0.142297720374531,0.0377825293616982,-3.76623065682799,0.000165730692492857,0.0389352780907306,"PRMT2"
23.761019303829,-0.17469551383433,0.0476127952737491,-3.66908753896764,0.000243417724394434,0.0434168704783526,"RNF130"
150.270048232549,-0.083916877635395,0.0236174458330344,-3.55317328675813,0.00038061365401261,0.0622303324310617,"VAV3"
76.605084369634,-0.0729601628631299,0.0209393223579652,-3.48436122314991,0.000493313212844105,0.0744523479692411,"MYH9"
139.31856432485,-0.0714677542609952,0.0210995840892543,-3.38716412412095,0.000706191278724099,0.098967663489763,"KLRD1"
80.5540098687997,-0.0690500282424069,0.0205796788017675,-3.35525296130843,0.000792924415823378,0.0991058378358894,"CD53"
24.7489922269481,0.143120854698458,0.0429731673486948,3.33047023360275,0.0008669943277336,0.0991058378358894,"TENT5C"
28.1848476167964,-0.132183959454878,0.039657038139663,-3.33317780791789,0.000858600517926104,0.0991058378358894,"GFOD1"
32.6513364158833,-0.111676697830479,0.0336658990236956,-3.31720527504334,0.000909227870054031,0.0991058378358894,"TRERF1"
88.4835618204333,-0.110589031468891,0.0338073707355471,-3.27115149929748,0.00107110513462159,0.106510931078312,"TXK"
28.8900742547792,0.122491304777583,0.0374899284990546,3.26731230710862,0.00108573833922846,0.106510931078312,"ZFP36L1"
