"logFC","PValue","SpatialFDR"
0.443127217245969,1.53254735580755e-08,7.41396853938935e-05
0.341657012025705,4.08128720482302e-07,0.00100773949393833
0.359049171940422,4.77092357961012e-06,0.00795006883604698
0.346687556188197,8.78704299159166e-06,0.00795006883604698
0.324324612310423,6.53877606880495e-06,0.00795006883604698
0.31111238010649,9.84411403422593e-06,0.00795006883604698
0.347425181941564,1.18725729556011e-05,0.00820315774063743
0.325302974887762,1.99488483125583e-05,0.0121875120563566
0.330924608427567,2.34541274496368e-05,0.0125806605625774
0.321458390616877,3.32099531902619e-05,0.0159984780794503
0.322169745837027,9.51114976846655e-05,0.0249574404194535
0.309933083535803,0.0001138945765929,0.0249574404194535
0.308826465928326,8.82532164357832e-05,0.0249574404194535
0.303941750447714,0.000108174067710164,0.0249574404194535
0.301577006016974,8.72062586604576e-05,0.0249574404194535
0.295229151079998,8.93266050554234e-05,0.0249574404194535
0.284147019340992,7.99288132559262e-05,0.0249574404194535
0.282307816140097,7.30616437850384e-05,0.0249574404194535
0.279228681661288,8.30209829414947e-05,0.0249574404194535
0.273127439466192,0.000109643958856459,0.0249574404194535
