"logFC","logCPM","F","PValue","FDR","Nhood","SpatialFDR","sig","nhood_annotation"
0.443127217245969,10.9043207980775,32.0125706123195,1.53254735580755e-08,7.12787775186091e-05,1895,7.41396853938935e-05,TRUE,"CD8 Tem"
0.359049171940422,10.8216822249858,23.7139159290683,4.77092357961012e-06,0.00739652185625556,2023,0.00795006883604698,TRUE,"CD8 Tem"
0.347425181941564,10.919337246116,19.1840092748268,1.18725729556011e-05,0.00788847668807151,1404,0.00820315774063743,TRUE,"CD8 Tem"
0.346687556188197,10.8642515203194,21.4147104916376,8.78704299159166e-06,0.00763082906219746,3271,0.00795006883604698,TRUE,"CD8 Tem"
0.341657012025705,10.8881706007545,25.6561372818291,4.08128720482302e-07,0.000949103339481592,2459,0.00100773949393833,TRUE,"CD8 Tem"
0.330924608427567,11.0101931205045,17.8863011196267,2.34541274496368e-05,0.0121205718631401,437,0.0125806605625774,TRUE,"CD8 Tem"
0.325302974887762,10.8871178442037,18.1944915731431,1.99488483125583e-05,0.0115977616877136,515,0.0121875120563566,TRUE,"CD8 Tem"
0.324324612310423,10.8458295952122,20.3240363347879,6.53877606880495e-06,0.00760296187400296,590,0.00795006883604698,TRUE,"CD8 Tem"
0.322169745837027,11.1489530914676,15.2315740172353,9.51114976846655e-05,0.0240783488969809,2121,0.0249574404194535,TRUE,"CD8 Tem"
0.321458390616877,11.012980303179,17.2249367318247,3.32099531902619e-05,0.0154459492287908,782,0.0159984780794503,TRUE,"CD8 Tem"
