"logFC","logCPM","F","PValue","FDR","Nhood","SpatialFDR","sig","nhood_annotation"
0.181013372952594,10.9993192076392,5.6692811509206,0.0172648713209555,0.231753481548512,1,0.237242506178884,FALSE,"CD8 Tem"
0.137072234011247,10.8438084427697,3.01840249042773,0.209240306023023,0.591009033876843,2,0.59423972877114,FALSE,"CD8 Tem"
0.0561562249271928,10.9480745781174,0.49387801834872,0.482202791012907,0.830331425768615,3,0.830699541372157,FALSE,"CD8 Tem"
-0.0451607259034137,10.7648090359865,0.465009425522961,0.495292360396103,0.840424942795431,4,0.841108703846867,FALSE,"CD8 Tem"
0.00307600305067587,10.8140239790702,0.552527289909058,0.511511281167938,0.851186547421431,5,0.851975429988906,FALSE,"CD8 Tem"
0.130264381561551,10.8932039489606,3.08878256212487,0.078834331752792,0.412439231701052,6,0.417243642719469,FALSE,"CD8 Tem"
0.205690578709115,10.9226934626418,7.9518589545488,0.00480397444170539,0.146155025472959,7,0.150511385093066,FALSE,"CD8 Tem"
0.150272061410611,10.8906117311201,4.22913384259503,0.0397361894238694,0.323734125820307,8,0.32825991350693,FALSE,"CD8 Tem"
0.0714069713877843,10.8605119087652,1.27759511418349,0.315537733237257,0.695528908666578,9,0.697628575009213,FALSE,"CD8 Tem"
0.120790079707825,10.7861672401765,1.41715524913052,0.233872722468257,0.611698146844228,10,0.614404520702286,FALSE,"CD8 Tem"
0.13564138798197,10.9757195906567,3.09901113964283,0.0783404276545065,0.412439231701052,11,0.417243642719469,FALSE,"CD8 Tem"
0.160710375042837,11.0351752756392,4.29838406796961,0.0381490736112694,0.320852335200749,12,0.325422034682078,FALSE,"CD8 Tem"
-0.0666815414979528,10.8590149333864,0.990142701472213,0.483917684080333,0.831744696473625,13,0.83216482099752,FALSE,"CD8 Tem"
0.0566955590022538,10.8689303757496,0.59612398387427,0.939110950141482,0.998052981074555,14,0.997419013883782,FALSE,"CD8 Tem"
0.11147873418648,11.0755945014489,1.35061834632821,0.245170555462925,0.624131501619082,15,0.627223983029674,FALSE,"CD8 Tem"
0.15721423999417,11.0367491536831,3.66882195376969,0.0554398793551241,0.363163246838208,16,0.367949917403801,FALSE,"CD8 Tem"
0.0891740249616813,10.7668681486935,1.55515070647679,0.212377201763085,0.594297843838547,17,0.597476038939469,FALSE,"CD8 Tem"
0.0439432116942317,10.9873473394254,0.324108475372719,0.832314384182271,0.991750133480293,18,0.99056017316442,FALSE,"CD8 Tem"
0.0929915269297732,10.9283467259902,1.04879469562161,0.906654951352209,0.998052981074555,19,0.997419013883782,FALSE,"CD8 Tem"
0.176609572004937,10.8075865557814,6.12395588435018,0.0148992662788964,0.223829413848177,20,0.22813072489365,FALSE,"CD8 Tem"
0.155937564236707,10.783215336406,4.64310057768349,0.117943754574945,0.48690754790225,21,0.491179210594834,FALSE,"CD8 Tem"
0.0541161771545721,10.8881483959591,1.21257743721047,0.692910633881558,0.94389147197968,22,0.94384025894056,FALSE,"CD8 Tem"
0.0961651001504247,11.0346783071324,1.96809110374541,0.180412978716731,0.569538388089682,23,0.573408618838392,FALSE,"CD8 Tem"
0.0501029082122068,11.2568336429317,0.319113242917832,0.572141274260092,0.889381372521286,24,0.889434803909073,FALSE,"CD8 Tem"
0.152188260387137,11.0655876204382,2.30134992209918,0.129262195356528,0.504519775991386,25,0.508704233428601,FALSE,"CD8 Tem"
0.11783151159469,10.9428598240852,1.81848692392003,0.931920274657849,0.998052981074555,26,0.997419013883782,FALSE,"CD8 Tem"
0.0696912454300196,10.8148820563682,1.63390671534102,0.37719829657504,0.748682180305617,27,0.750170681905695,FALSE,"CD8 Tem"
